"ID"	"Function"
"fpt1"	"chitinolysis"
"fpt2"	"nitrate_ammonification"
"fpt3"	"nitrite_ammonification"
"fpt4"	"nitrite_respiration"
"fpt5"	"cellulolysis"
"fpt6"	"xylanolysis"
"fpt7"	"dark_thiosulfate_oxidation"
"fpt8"	"dark_oxidation_of_sulfur_compounds"
"fpt9"	"fermentation"
"fpt10"	"aerobic_chemoheterotrophy"
"fpt11"	"human_pathogens_septicemia"
"fpt12"	"human_pathogens_pneumonia"
"fpt13"	"human_pathogens_nosocomia"
"fpt14"	"human_pathogens_gastroenteritis"
"fpt15"	"human_pathogens_diarrhea"
"fpt16"	"human_pathogens_all"
"fpt17"	"human_gut"
"fpt18"	"human_associated"
"fpt19"	"mammal_gut"
"fpt20"	"animal_parasites_or_symbionts"
"fpt21"	"nitrate_respiration"
"fpt22"	"nitrate_reduction"
"fpt23"	"nitrogen_respiration"
"fpt24"	"ureolysis"
"fpt25"	"reductive_acetogenesis"
"fpt26"	"chemoheterotrophy"
"fpt27"	"anaerobic_chemoheterotrophy"
