flow_cell_id,experiment_id,kit,barcode,alias,seqrun
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode02,PAD-1-MGE-L96,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode03,GIN-43-DRS-L130,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode04,CHA-57-DRS-L131,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode05,HAM-4-DRS-L132,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode06,HAM-4-MGE-L133,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode07,IRI-36-MGE-L134,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode08,HER-44-DRS-L137,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode09,HER-44-MGE-L138,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode10,LAM-70-DRS-L143,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode11,LAM-70-MGE-L144,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode12,HER-2-DRS-L145,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode13,HER-2-MGE-L146,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode14,IRI-16-DRS-L147,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode15,IRI-16-MGE-L148,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode16,GIN-66-DRS-L155,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode17,WOL-70-DRS-L157,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode18,WOL-70-MGE-L158,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode19,JAR-2-DRS-L159,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode20,JAR-2-MGE-L160,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode21,BUD-16-DRS-L161,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode22,HAM-17-MGE-L175,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode23,CHA-41-DRS-L176,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode24,WOL-44-DRS-L177,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode25,WOL-44-MGE-L178,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode26,HER-58-DRS-L179,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode27,HER-58-MGE-L180,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode28,HER-17-MGE-L187,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode29,IVY-36-MGE-L188,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode30,GRO-41-DRS-L189,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode31,GRO-41-MGE-L190,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode32,KOR-44-DRS-L191,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode33,KOR-44-MGE-L192,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode34,MAR-41-MGE-L202,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode35,JAR-44-DRS-L203,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode36,JAR-44-MGE-L204,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode37,KUB-58-DRS-L205,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode38,KUB-58-MGE-L206,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode38,KUB-58-MGE-L206,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode39,HAM-67-DRS-L207,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode40,HAM-67-MGE-L208,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode41,MAR-70-DRS-L209,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode42,GRO-36-MGE-L214,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode43,KOR-58-MGE-L215,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode44,GRO-70-DRS-L217,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode45,LAM-2-DRS-L218,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode46,LAM-2-MGE-L219,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode47,JAR-3-DRS-L220,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode48,JAR-3-MGE-L221,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode49,GOO-4-DRS-L222,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode50,GOO-4-MGE-L223,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode51,MAR-37-MGE-L224,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode52,JOA-3-MGE-L225,cm001
