"ID"	"Function"
"njc1"	"[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol) -- Consumption"
"njc2"	"[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol) -- Production"
"njc3"	"1,2-Ethanediol (Ethylene glycol) -- Production"
"njc4"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Production"
"njc5"	"1,3-Propanediol -- Production"
"njc6"	"2-Oxobutyrate (Alpha-ketobutyrate, 2-Oxobutanoate) -- Consumption"
"njc7"	"Acetate -- Consumption"
"njc8"	"Acetate -- Production"
"njc9"	"Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin) -- Production"
"njc10"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"njc11"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"
"njc12"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"njc13"	"Arabinan -- Macromolecule"
"njc14"	"Arabinogalactan -- Macromolecule"
"njc15"	"Benzoate -- Consumption"
"njc16"	"Bicarbonate (HCO3-, H2CO3, Carbonic acid, Carbonate) -- Consumption"
"njc17"	"Biotin (Vitamin B7) -- Consumption"
"njc18"	"Butylamine -- Production"
"njc19"	"Butyrate -- Production"
"njc20"	"Cellobiose -- Consumption"
"njc21"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"njc22"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"njc23"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Production"
"njc24"	"Cholic acid (Cholate) -- Consumption"
"njc25"	"Cholic acid (Cholate) -- Production"
"njc26"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"njc27"	"Citrate -- Consumption"
"njc28"	"CO2 -- Consumption"
"njc29"	"CO2 -- Production"
"njc30"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"njc31"	"D-Fructose (Fructose) -- Consumption"
"njc32"	"D-Galactose -- Consumption"
"njc33"	"D-Galacturonate -- Consumption"
"njc34"	"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"
"njc35"	"D-Glucosamine (Glucosamine) -- Consumption"
"njc36"	"D-Glucose (Glucose) -- Consumption"
"njc37"	"D-Glucuronic acid (D-Glucuronate) -- Consumption"
"njc38"	"D-Lyxose (L-Lyxose) -- Consumption"
"njc39"	"D-Mannitol (Mannitol) -- Consumption"
"njc40"	"D-Mannose (Mannose) -- Consumption"
"njc41"	"D-Psicose -- Consumption"
"njc42"	"D-Ribose (Ribose) -- Consumption"
"njc43"	"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"
"njc44"	"D-Tagatose -- Consumption"
"njc45"	"D-Turanose -- Consumption"
"njc46"	"D-Xylose (Xylose) -- Consumption"
"njc47"	"Deoxycholic acid -- Production"
"njc48"	"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"
"njc49"	"Dimethylamine -- Production"
"njc50"	"Ethanol -- Production"
"njc51"	"Ethanolamine (Phosphatidylethanolamine) -- Consumption"
"njc52"	"Folic acid (Folate, Vitamin B9) -- Consumption"
"njc53"	"Folic acid (Folate, Vitamin B9) -- Production"
"njc54"	"Formaldehyde -- Production"
"njc55"	"Formate -- Consumption"
"njc56"	"Formate -- Production"
"njc57"	"FOS (Fructooligosaccharide) -- Consumption"
"njc58"	"Fructan (Inulin, Levan) -- Macromolecule"
"njc59"	"Fumarate -- Consumption"
"njc60"	"Galactan -- Macromolecule"
"njc61"	"Glycerol -- Consumption"
"njc62"	"Glycochenodeoxycholate -- Consumption"
"njc63"	"Glycocholate -- Consumption"
"njc64"	"Glycodeoxycholate -- Consumption"
"njc65"	"H2 (Hydrogen) -- Consumption"
"njc66"	"H2 (Hydrogen) -- Production"
"njc67"	"H2S (HS-) -- Production"
"njc68"	"Hemicellulose, not specified -- Macromolecule"
"njc69"	"Hippurate -- Consumption"
"njc70"	"Hyaluronan (Hyaluronate, Hyaluronic acid) -- Macromolecule"
"njc71"	"Indole -- Production"
"njc72"	"Inosine -- Consumption"
"njc73"	"Inositol (myo-Inositol, Inositol 1-phosphate, Myo-inositol phosphate) -- Consumption"
"njc74"	"Isobutyrate (2-Methylpropanoic acid) -- Consumption"
"njc75"	"Isobutyrate (2-Methylpropanoic acid) -- Production"
"njc76"	"Isovalerate (3-Methylbutanoic acid) -- Consumption"
"njc77"	"Isovalerate (3-Methylbutanoic acid) -- Production"
"njc78"	"L-Arabitol (L-Arabinitol, D-Arabitol) -- Consumption"
"njc79"	"L-Arginine (Arginine) -- Consumption"
"njc80"	"L-Cysteine (Cysteine, D-Cysteine) -- Consumption"
"njc81"	"L-Fucose -- Consumption"
"njc82"	"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate) -- Consumption"
"njc83"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Consumption"
